scene,split,step,psnr,ssim,lpips,ellipse_time,num_GS,mem_gb
bicycle,train,6999,,,,183.02539205551147,3661909,5.384178161621094
bicycle,train,29999,,,,1594.237622976303,6016475,8.833139419555664
bicycle,val,6999,24.064579010009766,0.6826210618019104,0.2991192638874054,0.04442239761352539,3661909,
bicycle,val,29999,25.6234130859375,0.7745631337165833,0.15765319764614105,0.05624377250671387,6016475,
counter,train,6999,,,,201.70024752616882,1013888,1.6718692779541016
counter,train,29999,,,,845.5788753032684,1191946,1.8862943649291992
counter,val,6999,27.278305053710938,0.8876214027404785,0.19071979820728302,0.019338472684224447,1013888,
counter,val,29999,29.15504264831543,0.9162560105323792,0.1412019580602646,0.018633484840393066,1191946,
garden,train,6999,,,,232.34504747390747,3985149,5.87328577041626
garden,train,29999,,,,1544.1117494106293,5000422,7.363348960876465
garden,val,6999,26.633115768432617,0.8385116457939148,0.1178354024887085,0.041481594244639076,3985149,
garden,val,29999,27.7408447265625,0.8713492155075073,0.071507528424263,0.05199494957923889,5000422,
