scene,split,step,psnr,ssim,lpips,ellipse_time,num_GS,mem_gb
bicycle,train,6999,,,,149.47598695755005,68216,2.128726005554199
bicycle,train,29999,,,,622.9165949821472,120954,2.197516441345215
bicycle,val,6999,20.37818145751953,0.49266836047172546,0.5828294157981873,0.027471723556518553,68216,
bicycle,val,29999,22.23078155517578,0.5895825028419495,0.44720587134361267,0.03061884880065918,120954,
counter,train,6999,,,,226.92398381233215,139410,4.19651985168457
counter,train,29999,,,,935.3728840351105,132731,4.19651985168457
counter,val,6999,22.268657684326172,0.8235680460929871,0.2982577085494995,0.0527588685353597,139410,
counter,val,29999,25.402048110961914,0.8633089065551758,0.2504640817642212,0.04987912972768148,132731,
garden,train,6999,,,,173.9585783481598,140528,2.269859790802002
garden,train,29999,,,,725.2156097888947,162883,2.2987446784973145
garden,val,6999,22.582983016967773,0.6645474433898926,0.3811466693878174,0.01749648650487264,140528,
garden,val,29999,24.282217025756836,0.7243000268936157,0.2832276225090027,0.019002785285313923,162883,
room,train,6999,,,,216.4748499393463,92394,5.244076251983643
room,train,29999,,,,912.4904675483704,90048,5.244076251983643
room,val,6999,23.872079849243164,0.8297581076622009,0.31999313831329346,0.03490755496880947,92394,
room,val,29999,28.07585906982422,0.8821226358413696,0.2510819733142853,0.03205443651248247,90048,
stump,train,6999,,,,159.3409504890442,22031,1.419771671295166
stump,val,6999,20.048362731933594,0.4640916883945465,0.651553750038147,0.08322995901107788,22031,
