profile,Memset | Total Time (ns),Memset | Instances,Memset | Bandwidth (GB/s),HtoD | Total Time (ns),HtoD | Instances,HtoD | Bandwidth (GB/s),DtoH | Total Time (ns),DtoH | Instances,DtoH | Bandwidth (GB/s),DtoD | Total Time (ns),DtoD | Instances,DtoD | Bandwidth (GB/s),GPU | Utilization (%),GPU | Peak VRAM (MB)
profile_gsplat_cm-lfu_ep-False_efc-False,561740724.0,370274.0,285.0707746800283,2135569421.0,9564.0,12.559520201146391,2744671130.0,144246.0,6.951784057276108,7867677591.0,217422.0,325.66277728093036,76.77940109870124,
profile_gsplat_cm-lfu_ep-False_efc-True,1679833647.0,1176242.0,175.70212637608873,1839029045.0,9564.0,14.64772127946462,3921272336.0,196243.0,4.895438761996764,8908050271.0,295417.0,321.2458310701421,72.39327072844678,
profile_gsplat_cm-lfu_ep-True_efc-False,552777833.0,370274.0,292.18954600156695,1916242552.0,9564.0,14.01680858196494,3645521175.0,144246.0,5.244308797081668,7948965410.0,217422.0,325.38004066317853,80.124,
profile_gsplat_cm-lfu_ep-True_efc-True,1724742671.0,1176242.0,169.90623335949226,1803420012.0,9564.0,14.915875647940853,3215197048.0,196243.0,5.958686844999865,8834002930.0,295417.0,320.5990257263815,78.934,
profile_gsplat_cm-lru_ep-False_efc-False,544583622.0,370274.0,295.65283330536886,1829240238.0,9564.0,14.674252519914225,3523569304.0,144246.0,5.421027726151403,7919652378.0,217422.0,325.28957123829963,73.31094354835642,
profile_gsplat_cm-lru_ep-False_efc-True,1701853832.0,1176242.0,170.96265589511566,1858936650.0,9564.0,14.463968938371298,3353253812.0,196243.0,5.709787195196067,8805927330.0,295417.0,320.77500342510774,72.77423037679965,
profile_gsplat_cm-lru_ep-True_efc-False,558367689.0,370274.0,288.5136921309213,2088322785.0,9564.0,12.870075536718332,3700537348.0,144246.0,5.1710073182593375,7998087276.0,217422.0,325.15303501921926,79.412,
profile_gsplat_cm-lru_ep-True_efc-True,1739686230.0,1176242.0,168.88394757944369,1728189380.0,9564.0,15.582612426422848,2200017710.0,196243.0,8.721961161849011,8884986180.0,295417.0,321.3896883673037,74.862,
profile_gsplat_cm-none_ep-False_efc-False,569592401.0,370274.0,285.7264852309713,19810174995.0,152224.0,18.400746001486798,3516136863.0,144246.0,5.44390175747263,8007371966.0,217422.0,325.3293577155149,72.56302711757546,
profile_gsplat_cm-none_ep-False_efc-True,1717996750.0,1176242.0,170.1015820384992,22179837314.0,152224.0,16.43579290862963,4253068650.0,196243.0,4.505652208082744,8831736400.0,295417.0,321.2818928189478,68.24640281483462,
profile_gsplat_cm-twoq_ep-False_efc-False,559686627.0,370274.0,286.0406703696352,2056938602.0,9564.0,13.044757336903729,3673914807.0,144246.0,5.196336780489749,7907367273.0,217422.0,325.1727521674204,77.24562992713672,
profile_gsplat_cm-twoq_ep-False_efc-True,1720264224.0,1176242.0,171.6049920619636,2022768946.0,9564.0,13.317142022210973,4266938772.0,196243.0,4.498837708187296,8901862166.0,295417.0,321.3473733942781,70.48218740182865,
profile_gsplat_cm-twoq_ep-True_efc-False,568451227.0,370274.0,283.6604352971165,1716572328.0,9564.0,15.636409487780114,2167704096.0,144246.0,8.811009579787223,7906721635.0,217422.0,325.6961096144622,80.517,
profile_gsplat_cm-twoq_ep-True_efc-True,1700126843.0,1176242.0,173.69028398312278,2131827806.0,9564.0,12.637451482795791,4538945010.0,196243.0,4.229977261169771,8912811233.0,295417.0,321.44174174657957,75.214,
profile_gsplat_cm-warm_all_ep-False_efc-False,563885300.0,370274.0,296.39461171270113,2233710302.0,9564.0,12.070117029885104,3677114603.0,144246.0,5.226864145142336,8184313083.0,217422.0,326.18479171784634,68.32524373948574,
profile_gsplat_cm-warm_all_ep-False_efc-True,1686181192.0,1176243.0,181.21772698790724,1899289067.0,9564.0,14.221517883354402,3829820391.0,196244.0,5.031446694545525,9115308547.0,295419.0,321.4863799957116,70.23497323046792,
