scene,split,step,psnr,ssim,lpips,ellipse_time,num_GS,mem_gb,train_runtime,eval_runtime,full_runtime,script_path,partition,gpu_num,log_out,log_err,trace,sample,project_dir,gpus,cpus,mem,time,force_overwrite,gpu_type,scenes,args,profile_output
,train,6999,,,,412.0680978298187,5625190,12.777036666870117,44m52.173s,4m37.157s,63m19.515s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode none --no-enable-prefetch --no-enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-none_ep-False_efc-False
,train,6999,,,,416.06788396835327,5620573,13.414077281951904,34m43.218s,5m35.965s,58m40.218s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode none --no-enable-prefetch --enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-none_ep-False_efc-True
,train,6999,,,,373.9142978191376,5546267,16.639832973480225,39m17.798s,4m23.030s,56m14.119s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode twoq --no-enable-prefetch --no-enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-twoq_ep-False_efc-False
,train,6999,,,,376.2021243572235,5679483,17.581335067749023,32m34.571s,5m30.952s,54m47.571s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode twoq --no-enable-prefetch --enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-twoq_ep-False_efc-True
,train,6999,,,,599.8966557979584,5571826,16.73336362838745,37m22.834s,5m44.486s,58m39.834s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode twoq --enable-prefetch --no-enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-twoq_ep-True_efc-False
,train,6999,,,,453.86394786834717,5656598,17.510799407958984,31m4.127s,5m5.984s,50m57.127s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode twoq --enable-prefetch --enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-twoq_ep-True_efc-True
,train,6999,,,,490.99930143356323,5650564,15.911851406097412,39m47.693s,4m33.178s,58m21.693s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode warm_all --no-enable-prefetch --no-enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-warm_all_ep-False_efc-False
,train,6999,,,,441.2994616031647,5703248,16.702988147735596,33m48.412s,4m46.506s,53m35.412s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode warm_all --no-enable-prefetch --enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-warm_all_ep-False_efc-True
,train,6999,,,,382.58990597724915,5563898,16.68447256088257,40m12.124s,5m29.257s,59m14.962s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode lru --no-enable-prefetch --no-enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-lru_ep-False_efc-False
,train,6999,,,,378.5255968570709,5593828,17.514841079711914,33m3.865s,4m55.850s,52m18.865s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_rubble.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,data/rubble-colmap,--optimizer-stride 1 --vram-thresh-gb 10.0 --cache-mode lru --no-enable-prefetch --enable-frustum-culling,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-04_15-19-20_FINAL_ablate_cache_prefetch_frustum_10gb/results/profile_gsplat_cm-lru_ep-False_efc-True
